Trial       	TargetX     	TargetY     	TargetZ     	PenaltyX    	PenaltyY    	PenaltyZ    	StartX      	StartY      	StartZ      	ScaleX      	ScaleY      	ScaleZ      	CtrlStartX  	CtrlStartY  	CtrlStartZ  	MoveStartX  	MoveStartY  	MoveStartZ  	EndX        	EndY        	EndZ        	StartTime   	EndTime     	Score       	Result      	TargetSeed  	PenaltySeed
1           	0.200       	0.800       	2.500       	0.200       	0.300       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	1.000       	2.299       	-0.001      	0.998       	2.300       	0.194       	0.821       	2.483       	6.632       	7.303       	300         	Hit         	-518517554  	-447456214
2           	-0.200      	1.000       	2.500       	-0.700      	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	1.001       	2.297       	-0.002      	0.999       	2.299       	-0.187      	1.013       	2.474       	9.686       	10.203      	600         	Hit         	-518517553  	-416964389
3           	0.200       	1.200       	2.500       	-0.300      	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	0.997       	2.300       	-0.001      	1.000       	2.300       	0.221       	1.195       	2.505       	13.603      	14.140      	900         	Hit         	-518517552  	-110588195
4           	-0.200      	0.800       	2.500       	-0.200      	0.800       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.999       	2.302       	0.003       	0.998       	2.301       	-0.187      	0.803       	2.487       	17.646      	18.627      	1200        	Hit         	-518517551  	-53051440
5           	-0.200      	1.200       	2.500       	-0.200      	1.200       	2.450       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.004      	0.997       	2.299       	-0.004      	0.999       	2.299       	-0.189      	1.216       	2.501       	21.505      	22.295      	1500        	Hit         	-518517550  	-26988569
6           	0.200       	1.000       	2.500       	0.200       	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.999       	2.300       	0.001       	1.000       	2.300       	0.213       	1.010       	2.481       	25.148      	25.809      	1800        	Hit         	-518517549  	-264864861
7           	0.200       	1.000       	2.500       	0.200       	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.003       	0.997       	2.302       	0.004       	0.997       	2.303       	0.209       	1.028       	2.498       	29.147      	29.907      	2100        	Hit         	-518517548  	-203644937
8           	0.200       	1.200       	2.500       	0.700       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.998       	2.300       	0.006       	1.002       	2.301       	0.169       	1.212       	2.508       	32.670      	33.343      	2400        	Hit         	-518517547  	-173067295
9           	-0.200      	1.000       	2.500       	-0.200      	1.000       	2.450       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.998       	2.299       	-0.001      	0.998       	2.299       	-0.204      	1.016       	2.519       	36.255      	36.762      	2700        	Hit         	-518517546  	-140306121
10          	-0.200      	0.800       	2.500       	-0.200      	0.300       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.998       	2.298       	-0.001      	0.999       	2.298       	-0.211      	0.822       	2.501       	42.753      	43.463      	3000        	Hit         	-518517545  	156590971
