Participant: IP
Session Start: 7/29/2025 3:52:41 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              -1             0              1              2.5            0              0.5            2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0025151521   0.999110937    2.30063009     0.0018607378   1.0044955      2.342875       0.0146277249   1.03335011     2.49290466     22.6923065     23.00877       300            Hit            -76468051      0.0258980785   0.998978853    2.48778129     -0.00177389511 1.02000844     2.47980428     -76473965      0.169653043    0.771361232    2.48820591     0.409891844    0.262092888    2.53348017
2              -1             0              1.20000005     2.5            0              1.20000005     2.54999995     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000484794378 1.00008643     2.30136752     0.0049457252   1.03870666     2.32096553     0.0086312592   1.19730115     2.48258018     26.7368851     27.6020145     600            Hit            -76468050      0.0175251774   1.17744052     2.52519965     -0.0307807382  1.16116881     2.50622153     -76473966      0.112859666    0.876776099    2.59871578     -0.178765118   1.44729161     2.57119632
3              -1             0.200000003    1              2.5            0.200000003    1              2.54999995     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000376462936 0.999929905    2.29890227     0.0330680013   1.01049685     2.32137847     0.195119038    0.998260021    2.46443224     31.1842995     31.7139568     900            Hit            -76468049      0.235538945    0.9781214      2.49033809     0.18964        1.02598822     2.5386579      -76473966      0.312859654    0.676776052    2.59871578     0.0212348849   1.24729156     2.57119632
4              -1             -0.200000003   1.20000005     2.5            -0.200000003   1.20000005     2.54999995     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00219376385  0.998456538    2.30026126     -0.0275475085  1.02201748     2.30924654     -0.18382743    1.17796111     2.48146296     34.8899803     35.6442947     1200           Hit            -76468048      -0.20588474    1.1870811      2.46587324     -0.217083395   1.19044602     2.49839497     -76473966      -0.0871403366  0.876776099    2.59871578     -0.378765106   1.44729161     2.57119632
5              -1             -0.200000003   0.800000012    2.5            0.300000012    0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0008276253940.999402881    2.29786682     0              0              0              0              0              0              38.9084396     38.9084396     1200           Invalid Start  -76468046      -0.156546518   0.816145539    2.50871587     -0.167495728   0.778436363    2.49140906     -76473964      0.366457582    1.15122414     2.48336864     0.0112459064   0.650573373    2.49141717
