Participant: IP
Session Start: 7/23/2025 3:46:56 PM
Trial          TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0              0.800000012    2.5            0              0.800000012    2.54999995     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0002514570950.996915579    2.30115056     0.000324741006 0.996462524    2.29915261     0.00204235315  0.80280292     2.47720981     16.0106621     16.7157097     300            Hit            794548703      -0.0371230803  0.793312848    2.52151227     -0.0101595335  0.802505672    2.52584243     794554581      -0.490637302   0.383956969    2.55098748     0.255335331    0.305787504    2.53405166
2              0              1              2.5            0              0.5            2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -9.39816236E-050.998311996    2.29841638     -0.0005505979060.998435974    2.30011559     0.0109741688   1.03461456     2.48612261     19.5202179     20.1508827     600            Hit            794548704      -0.00880998187 0.963684678    2.52216244     0.0340530165   1.02032149     2.52160048     794554582      -0.0874161124  0.832668066    2.45749307     -0.279307842   0.735842705    2.52580857
3              0              1.20000005     2.5            0              0.700000048    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -8.4027648E-05 0.9984231      2.2979722      0.000517547131 1.00159371     2.29925823     -0.00139346719 1.2064079      2.48880553     23.4334946     24.114397      900            Hit            794548705      0.00828153174  1.15718603     2.4928019      -0.0194202717  1.17000902     2.48375797     794554583      -0.152371347   0.804272115    2.54906011     0.320250511    0.660233676    2.50987291
4              0              0.800000012    2.5            0              1.29999995     2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00217850506 0.997952878    2.30042791     -0.0008235275750.997820795    2.30023789     -0.0144747496  0.772766888    2.47809076     27.3256741     28.1688957     1200           Hit            794548706      -0.00690498529 0.802845061    2.54138947     0.029581612    0.811698198    2.46656036     794554584      0.405480623    0.928678989    2.52848577     0.383602858    1.26322627     2.53687501
5              0.200000003    1.20000005     2.5            0.699999988    1.20000005     2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -1.4051795E-05 0.998356044    2.29792619     -0.0003271251920.998696923    2.29868937     0.163271248    1.1970042      2.4844532      31.1343155     31.8298931     1500           Hit            794548707      0.210807726    1.18981206     2.45967412     0.155326486    1.21397173     2.50895047     794554585      0.595386624    1.45274425     2.47656775     1.12993526     1.23606753     2.47336936
6              0.200000003    1.20000005     2.5            0.200000003    1.20000005     2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00121219456 0.998837411    2.29769588     -0.0004395693540.995721161    2.29602647     -0.00126761198 0.99347055     2.2960515      35.73703       35.7788582     1500           Neutral        794548708      0.23479864     1.17519629     2.51483965     0.212652087    1.18642652     2.52336836     794554586      0.0782456547   1.02558827     2.48014641     -0.173758194   0.878955126    2.45979905
7              -0.200000003   0.800000012    2.5            -0.699999988   0.800000012    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00167572498 0.998832405    2.29959822     -0.002991274   0.997293949    2.30143833     -0.15986982    0.812618375    2.49275398     42.2125511     42.787384      1800           Hit            794548709      -0.190659434   0.814715862    2.48662305     -0.206248373   0.826014459    2.4602747      794554587      -0.652496696   0.503275454    2.52407408     -0.262646973   1.28307295     2.51593876
8              0.200000003    0.800000012    2.5            0.699999988    0.800000012    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00929946639  0.9956581      2.311589       0.0119683985   0.994538605    2.31383896     0.0132307354   0.992487967    2.31585312     49.4504051     49.5126228     1800           Neutral        794548710      0.199844733    0.805915177    2.49687815     0.186948702    0.784591496    2.48896289     794554588      1.16903925     0.513431251    2.47319818     0.908508241    0.840800643    2.52249718
9              0.200000003    1.20000005     2.5            0.200000003    1.20000005     2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00157228112 0.998997211    2.29769135     -0.00031465292 0.999511182    2.29854369     0.206102237    1.19907796     2.48878813     92.1223679     92.9011993     1600           Hit Both       794548711      0.214354023    1.18630588     2.53420091     0.184351325    1.17880964     2.48552847     794554589      0.43825382     1.2863934      2.45261621     -0.157399818   1.27753949     2.42136621
10             -0.200000003   0.800000012    2.5            -0.699999988   0.800000012    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00224427879  1.00021219     2.29963183     0.00125540793  0.998942912    2.2987957      -0.187669411   0.794639111    2.51037264     96.3536453     97.0752487     1900           Hit            794548712      -0.220261768   0.814522684    2.49690557     -0.198642522   0.831839025    2.48167801     794554590      -0.972011387   0.746821284    2.53089619     -0.954903781   1.27059746     2.48507237
