Participant: IP
Session Start: 8/4/2025 3:37:50 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
14             5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00102926791  0.998147964    2.30077672     0.0275289416   1.00399172     2.32116175     0.187648848    0.98430723     2.48060942     51.6311836     51.9732742     3000           Hit            -674119352     0.174655512    0.982762098    2.49425793     0.221686602    1.02826095     2.52701545     -1             0              0              0              0              0              0
15             8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00100196898  0.998877466    2.30218172     0.0283183157   1.02858281     2.31539822     0.198909059    1.18878126     2.40984917     55.272171      55.6834564     3300           Hit            -674119351     0.180087671    1.17789626     2.41617417     0.191549391    1.2090677      2.41598988     -1             0              0              0              0              0              0
16             6              -0.200000003   1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00100921094 0.998040795    2.29926419     -0.0357584655  1.02504218     2.30869603     -0.197788239   1.18984365     2.40173483     58.8327522     59.3752136     3600           Hit            -674119350     -0.19634077    1.24240863     2.38071465     -0.188897476   1.2245847      2.43867445     -1             0              0              0              0              0              0
17             7              0              1.20000005     2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000522717834 0.998909414    2.29931235     -0.0004531741141.03035808     2.32245302     -0.0016926825  1.18696404     2.48975754     62.9022026     63.510952      3900           Hit            -674119349     -0.0252545606  1.18668115     2.5573678      -0.0227865484  1.23589563     2.53277183     -1             0              0              0              0              0              0
18             8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0017786175  0.999080002    2.29971075     0.0219786763   1.03382838     2.30804539     0.214006543    1.1736176      2.40623164     66.721611      67.2485886     4200           Hit            -674119348     0.220944121    1.16119933     2.39996862     0.194717497    1.19895041     2.35307312     -1             0              0              0              0              0              0
19             1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00240901113 0.961678445    2.31702781     0              0              0              0              0              0              70.646759      70.646759      4200           Too Early      -674119346     0.0218759552   0.7875067      2.48427725     -0.0137298927  0.796302021    2.51818943     -1             0              0              0              0              0              0
20             6              -0.200000003   1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00243239105 0.981883407    2.259974       0              0              0              0              0              0              73.2283096     73.2283096     4200           Too Early      -674119345     -0.214189395   1.20368099     2.40409613     -0.216389865   1.22620928     2.36850786     -1             0              0              0              0              0              0
21             1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000602677464 0.997602105    2.29934239     0.000273197889 0.967627406    2.32044744     0.000701129436 0.805105448    2.47755289     77.1809769     77.64505       4500           Hit            -674119345     0.00376948039  0.814982891    2.51340437     0.0249622911   0.785688281    2.48896098     -1             0              0              0              0              0              0
22             7              0              1.20000005     2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000659897923 0.998297811    2.29869843     -0.00329720974 1.03387654     2.31317401     0.00559684634  1.17475092     2.48032379     80.4368515     80.8948441     4500           Neutral        -674119344     -0.0139525896  1.1698308      2.55447769     0.0303796828   1.22414243     2.53818393     -1             0              0              0              0              0              0
23             2              0.200000003    0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00023265183  1.00004423     2.29719162     0.0240181088   0.983973682    2.30980968     0.204455584    0.791186452    2.42086959     84.1454391     84.5885696     4800           Hit            -674119343     0.208545566    0.827262819    2.3933022      0.180501983    0.769679666    2.37730551     -1             0              0              0              0              0              0
24             8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00316502154  1.00015962     2.29929256     0              0              0              0              0              0              87.5228882     87.5228882     4800           Invalid Start  -674119341     0.207020551    1.19237125     2.43002176     0.208488822    1.16633546     2.38729072     -1             0              0              0              0              0              0
25             1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000830128789 0.999245882    2.29878545     0              0              0              0              0              0              90.1791229     90.1791229     4800           Invalid Start  -674119340     0.000621285115 0.816278577    2.52658105     -0.0299403574  0.794488907    2.53549099     -1             0              0              0              0              0              0
26             0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000510081649 0.997041047    2.30174899     -0.0262314081  0.972060382    2.31101227     -0.192184627   0.797205627    2.4018681      92.9877167     93.3699875     5100           Hit            -674119340     -0.204895675   0.766259015    2.37038231     -0.219317839   0.823315144    2.43616843     -1             0              0              0              0              0              0
27             7              0              1.20000005     2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00123885274  0.998064816    2.29857206     0.00513876975  1.02983773     2.30054975     -0.0002306103711.17966306     2.4803071      96.3190308     96.7498856     5400           Hit            -674119339     -0.0305600297  1.17505896     2.54386306     0.0354322791   1.22967565     2.52766013     -1             0              0              0              0              0              0
28             1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0016426146  0.997229338    2.30056691     -0.0002214014530.969299018    2.32189989     0.00337573886  0.806396484    2.4869225      100.104881     100.514587     5700           Hit            -674119338     -0.0172910169  0.820034623    2.51329541     -0.0288647152  0.793622375    2.526052       -1             0              0              0              0              0              0
29             7              0              1.20000005     2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000852018595 1.00035787     2.30452251     0              0              0              0              0              0              103.403831     103.403831     5700           Invalid Start  -674119336     0.0111739337   1.18673873     2.55382538     0.0342574604   1.21527433     2.49122429     -1             0              0              0              0              0              0
