Trial       	TargetX     	TargetY     	TargetZ     	PenaltyX    	PenaltyY    	PenaltyZ    	StartX      	StartY      	StartZ      	ScaleX      	ScaleY      	ScaleZ      	CtrlStartX  	CtrlStartY  	CtrlStartZ  	MoveStartX  	MoveStartY  	MoveStartZ  	EndX        	EndY        	EndZ        	StartTime   	EndTime     	Score       	Result      	TargetSeed  	TargetRandVals	PenaltySeed 	PenaltyRandVals
1           	0.200       	1.200       	2.500       	0.200       	1.200       	2.450       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.999       	2.299       	0.001       	1.001       	2.298       	0.209       	1.206       	2.487       	7.935       	8.827       	-200        	Hit Both    	-1525322292 	None        	-1525321264 	None
2           	0.000       	1.200       	2.500       	0.000       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	1.002       	2.300       	0.000       	1.000       	2.303       	-0.004      	1.184       	2.496       	12.452      	13.104      	100         	Hit         	-1525322291 	None        	-1525321263 	None
3           	-0.200      	0.800       	2.500       	-0.200      	0.800       	2.450       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.997       	2.298       	0.001       	1.000       	2.297       	0.002       	1.000       	2.296       	16.591      	16.614      	100         	Neutral     	-1525322290 	None        	-1525321262 	None
4           	0.200       	1.200       	2.500       	-0.300      	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	1.000       	2.300       	0.002       	1.001       	2.303       	0.211       	1.197       	2.494       	20.250      	21.086      	400         	Hit         	-1525322289 	None        	-1525321261 	None
5           	0.200       	1.200       	2.500       	0.200       	1.700       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.998       	2.301       	0.000       	0.998       	2.300       	0.000       	0.998       	2.300       	24.669      	24.690      	400         	Neutral     	-1525322288 	None        	-1525321260 	None
6           	0.200       	0.800       	2.500       	0.200       	1.300       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.301       	0.003       	0.997       	2.302       	0.189       	0.799       	2.492       	28.404      	29.022      	700         	Hit         	-1525322287 	None        	-1525321259 	None
7           	-0.200      	1.000       	2.500       	0.300       	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.298       	0.002       	1.000       	2.298       	0.002       	1.000       	2.299       	32.005      	32.028      	700         	Neutral     	-1525322286 	None        	-1525321258 	None
8           	0.000       	1.000       	2.500       	0.000       	1.000       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	1.000       	2.300       	0.001       	0.999       	2.303       	0.020       	1.006       	2.482       	35.043      	35.660      	1000        	Hit         	-1525322285 	None        	-1525321257 	None
9           	-0.200      	0.800       	2.500       	-0.700      	0.800       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.298       	-0.001      	0.997       	2.299       	-0.176      	0.805       	2.494       	38.481      	39.123      	1300        	Hit         	-1525322284 	None        	-1525321256 	None
10          	0.200       	1.000       	2.500       	0.200       	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	1.000       	2.297       	0.001       	1.002       	2.298       	0.002       	1.002       	2.298       	42.142      	42.162      	1300        	Neutral     	-1525322283 	None        	-1525321255 	None
