Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget
1,0.2,1,2.5,0.2,1,2.45,0.002185717,0.9993122,2.299435,0.003379345,1.000898,2.299888,0.1980106,1.017811,2.521806,20.32065,20.89462,300,Hit,1075260597
2,0,1,2.5,-0.5,1,2.5,0.0007829964,0.9996789,2.298874,0.0002030581,0.9979604,2.302937,0.006032974,1.003489,2.507221,24.55797,24.9855,600,Hit,1075260597
3,0.2,1,2.5,0.2,1,2.55,0.0003407598,0.9996063,2.300184,-0.00111559,0.9988865,2.300168,-0.001134098,0.9984934,2.300256,28.66914,28.69211,600,Neutral,1075260597
4,-0.2,0.8,2.5,-0.2,0.3,2.5,-0.001911968,0.9961348,2.301139,-0.002469897,0.9968485,2.301833,-0.1938936,0.8056858,2.502919,31.76752,32.48495,900,Hit,1075260597
5,-0.2,1.2,2.5,-0.2,0.7,2.5,0.0008911788,0.9984562,2.299515,0.0006550699,0.9985126,2.299792,0.0003212243,0.9980952,2.300365,35.61966,35.64152,900,Neutral,1075260597
6,0.2,1.2,2.5,0.7,1.2,2.5,0.00112249,0.9984683,2.299207,0.0008547157,0.9983621,2.299963,0.1722377,1.200272,2.512155,39.85748,40.49546,1200,Hit,1075260597
7,0,1.2,2.5,0,1.2,2.45,0.00154914,1.000018,2.294917,0.0001409352,0.998705,2.299503,-0.01468176,1.21546,2.485918,48.67797,49.24184,1000,Hit Both,1075260597
8,0,1.2,2.5,0,0.7,2.5,-0.00051184,0.995453,2.29903,0.0001763701,1.001018,2.297287,0.005954057,1.200055,2.501119,53.26768,53.88466,1300,Hit,1075260597
9,-0.2,1,2.5,0.3,1,2.5,0.002326488,0.996713,2.300897,0.001147836,0.9958307,2.302057,-0.0001195073,0.9949089,2.30256,57.3301,57.37151,1300,Neutral,1075260597
10,0,1.2,2.5,0,1.2,2.45,0.0005728155,0.9984195,2.297954,0.0008337796,0.9972483,2.298131,0.001568541,0.9974558,2.29823,60.35656,60.37804,1300,Neutral,1075260597
