Participant: ME
Session Start: 8/4/2025 9:30:13 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              1              -0.200000003   0.800000012    2.5            -0.699999988   0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00128905475 0.999311268    2.2974062      -0.0325810313  0.97754252     2.31743026     -0.178978145   0.794021428    2.49562359     4.22146893     4.85987806     300            Hit            -1957436895    -0.185957104   0.794327557    2.47504306     -0.217673585   0.788636744    2.53971767     -1957459154    -0.504365981   0.645493865    2.51920056     -0.743508458   0.512576401    2.51182938
2              19             -0.200000003   1.20000005     2.5            -0.699999988   1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00116221607 0.999004006    2.2993722      -0.0331838429  1.01119649     2.31677389     -0.17996785    1.18221772     2.47357392     8.6557436      9.49388695     600            Hit            -1957436894    -0.208464414   1.20185363     2.5248611      -0.214150906   1.21209502     2.48702884     -1957459154    -0.504365981   1.04549384     2.51920056     -0.743508458   0.912576437    2.51182938
3              26             0.200000003    1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0106309652  1.0033443      2.34996581     0              0              0              0              0              0              11.8108044     11.8108044     600            Too Early      -1957436892    0.18185091     1.2299906      2.482306       0.210462764    1.22306406     2.48076463     -1957459153    0.340872824    1.15578556     2.48138332     0.758622646    0.800831318    2.50337076
4              19             -0.200000003   1.20000005     2.5            -0.699999988   1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0005092620850.999248624    2.30044222     -0.0291333199  1.01728976     2.31673527     -0.107992887   1.11591172     2.38844562     19.6345577     20.906311      600            Neutral        -1957436892    -0.228258207   1.21729922     2.47123837     -0.183292136   1.24365509     2.51136255     -1957459154    -0.504365981   1.04549384     2.51920056     -0.743508458   0.912576437    2.51182938
5              18             -0.200000003   1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00591465831  0.959582269    2.31010509     0              0              0              0              0              0              23.7160568     23.7160568     600            Too Early      -1957436890    -0.220874131   1.1642704      2.52112722     -0.191943109   1.19657314     2.53972507     -1             0              0              0              0              0              0
6              16             0.200000003    1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.049652338    0.999243379    2.30730295     0              0              0              0              0              0              27.5760078     27.5760078     600            Too Early      -1957436889    0.206713453    1.00458515     2.45179772     0.206824139    0.987554014    2.49113464     -1957459154    -0.104366019   0.845493853    2.51920056     -0.343508482   0.712576389    2.51182938
7              0              -0.200000003   0.800000012    2.5            -0.300000012   1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0013640672   0.998685777    2.30633378     -0.0208080709  0.974340618    2.32327795     -0.0924585164  0.875962198    2.36352968     32.0812073     33.1625748     600            Neutral        -1957436889    -0.193414584   0.816995323    2.53215027     -0.193782642   0.797833979    2.53957748     -1             0              0              0              0              0              0
