Participant: IP
Session Start: 7/28/2025 2:43:43 PM
Trial          TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0.200000003    1              2.5            0.200000003    1              2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00217065215  1.00037313     2.29821086     0.0125662833   1.00609243     2.30212641     0.192415699    1.01667869     2.48307133     5.32097006     5.78871012     -200           Hit Both       784044637      0.216634542    1.02299929     2.48423672     0.195977986    0.978230357    2.53590727     784026451      0.15410842     1.00243354     2.45545006     0.329925358    1.31519902     2.44576597
5              0.200000003    1.20000005     2.5            0.699999988    1.20000005     2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0009963363410.999348342    2.29813004     0.00306409597  1.00979853     2.30217218     0.183200344    1.17197084     2.49001312     20.040844      20.5911102     100            Hit            784044641      0.203430369    1.21291685     2.54734492     0.163364962    1.19432485     2.46895123     784026455      1.12880254     1.05883312     2.46951818     0.369740188    0.767610073    2.54388309
6              -0.200000003   0.800000012    2.5            -0.200000003   0.800000012    2.54999995     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0002093762160.997647226    2.29941392     -0.0162727833  0.995585442    2.30348325     -0.19224453    0.804804802    2.47522712     23.5520668     24.0558567     400            Hit            784044642      -0.238485515   0.808961689    2.48453403     -0.168625414   0.806534052    2.49808478     784026456      -0.63917166    0.491727412    2.50738287     -0.449927092   1.03003967     2.56022215
8              -0.200000003   1.20000005     2.5            -0.200000003   0.700000048    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00107519329 0.999995768    2.29812026     -0.00909179449 1.00470483     2.30535769     -0.193572253   1.19733012     2.47702026     30.6875267     31.401123      200            Hit Both       784044644      -0.239920095   1.19464469     2.520818       -0.225477457   1.19415677     2.52445531     784026458      -0.67992872    0.561003864    2.53717113     -0.340368152   0.999264002    2.50888586
9              -0.200000003   1              2.5            -0.699999988   1              2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000238582492 0.999412775    2.29811645     -0.00992938876 1.00172329     2.29495358     -0.0105743855  1.00163281     2.29482794     34.3113823     34.3303871     200            Neutral        784044645      -0.210022822   0.982843935    2.46493936     -0.183972761   1.04190111     2.48125219     784026459      -0.285952866   0.685305834    2.527318       -1.00672889    0.632299185    2.4762609
