Participant: IP
Session Start: 8/11/2025 6:11:57 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              2              0.100000001    0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00015360117  1.00019038     2.30002236     0.013891682    0.984002352    2.32197809     0.100839198    0.897044361    2.44451141     9.3660841      9.82886791     300            Hit            -2017781390    0.0902117342   0.910631061    2.44713593     0.104033999    0.915620089    2.43426991     -1             0              0              0              0              0              0
2              0              -0.100000001   0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -7.68750906E-050.998046339    2.30039263     -0.00936105847 0.978793621    2.32194185     -0.101803392   0.908783555    2.43426085     13.2532883     13.7916374     600            Hit            -2017781389    -0.108933419   0.91719979     2.46025944     -0.120029226   0.886564374    2.4584651      -1             0              0              0              0              0              0
3              8              0.100000001    1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0006630122660.998838603    2.30174017     0.0160467327   1.01892519     2.31753826     0.0889230967   1.08679461     2.42848158     17.1460495     17.5381165     900            Hit            -2017781388    0.106968187    1.07511842     2.42747641     0.104954332    1.09635556     2.44758534     -1             0              0              0              0              0              0
4              6              -0.100000001   1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00114534795 0.998576224    2.30018711     -0.0265647471  1.01562107     2.31640792     -0.0912465453  1.10467744     2.43056345     20.9042797     21.3782005     1200           Hit            -2017781387    -0.107699372   1.10800779     2.46003199     -0.0941174477  1.09083819     2.4517746      -1             0              0              0              0              0              0
5              5              0.100000001    1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000384300947 0.997986019    2.30420589     0.0211946815   1.00298738     2.32843637     0.099183321    0.99812603     2.45741987     24.5107327     24.8084965     1500           Hit            -2017781386    0.102209218    0.995127738    2.46566582     0.111848824    1.00839126     2.49675846     -1             0              0              0              0              0              0
6              4              0              1              2.5            0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00180323422  0.999062598    2.3027873      0              0              0              0              0              0              27.6033993     27.6033993     1500           Invalid Start  -2017781384    0.0188548174   0.987860441    2.5004437      0.0133362543   1.00828552     2.47918367     -1             0              0              0              0              0              0
7              4              0              1              2.5            0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   6.92605972E-05 0.999277771    2.30181408     0.00446823239  1.01268649     2.33181024     0.000570237637 0.995077014    2.48074174     31.4083748     31.7588081     1800           Hit            -2017781384    -7.60426337E-050.982550323    2.48506808     -0.0113234492  0.980867684    2.51941776     -1             0              0              0              0              0              0
8              7              0              1.10000002     2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00261610746 1.00740099     2.34711885     0              0              0              0              0              0              33.9690781     33.9690781     1800           Too Early      -2017781382    -0.0239942465  1.09241974     2.46449614     -0.00543845398 1.09450531     2.49412179     -1             0              0              0              0              0              0
9              2              0.100000001    0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000181883574 0.99855125     2.30105162     0.0100329518   0.981873035    2.32599688     0.103730589    0.908242404    2.43683004     38.4421616     38.7563133     2100           Hit            -2017781382    0.117617443    0.882948637    2.45565391     0.103085108    0.900414824    2.41920495     -1             0              0              0              0              0              0
10             8              0.100000001    1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00302088261  0.997388899    2.34717393     0              0              0              0              0              0              40.8633003     40.8633003     2100           Too Early      -2017781380    0.0829665512   1.08542478     2.43785048     0.08442045     1.09218287     2.45454764     -1             0              0              0              0              0              0
