Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,StartCircleX,StartCircleY,StartCircleZ,StartCircleScaleX,StartCircleScaleY,StartCircleScaleZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0,1,2.5,0,1,2.55,0,1,2.3,0.05,0.05,0.05,0.0008236319,0.9976354,2.299915,0.0008238107,0.9986987,2.301243,-0.007041484,1.002811,2.49147,10.87117,11.44734,300,Hit,-1799236236,702445330
2,-0.2,1.2,2.5,-0.2,1.2,2.55,0,1,2.3,0.05,0.05,0.05,0.002409741,0.9988955,2.297762,-0.002758399,1.001728,2.298681,-0.2138115,1.186626,2.494793,14.88151,15.54308,600,Hit,-1773672124,2078940515
3,0,1,2.5,0,1,2.55,0,1,2.3,0.05,0.05,0.05,-0.001827806,0.9999498,2.297264,-0.002950773,1.000081,2.299628,-0.001948118,0.9972076,2.481573,18.65001,19.00368,900,Hit,-1472294283,308243781
4,0.2,1,2.5,-0.3,1,2.5,0,1,2.3,0.05,0.05,0.05,-0.0003326535,0.997738,2.300174,0.0008482933,0.9989946,2.301559,0.226277,1.000267,2.499596,22.52176,23.1129,1200,Hit,-1439146769,1438291698
5,-0.2,1.2,2.5,-0.2,1.2,2.55,0,1,2.3,0.05,0.05,0.05,-0.001832664,0.9993637,2.299345,7.161498E-05,0.9994699,2.298992,0.0007776618,1.00027,2.298746,28.94651,28.96888,1200,Neutral,-1387084897,978532168
6,0,1,2.5,0,0.5,2.5,0,1,2.3,0.05,0.05,0.05,-0.000138104,0.9983206,2.296981,-0.001537383,0.9993163,2.299375,0.007613182,1.024817,2.497203,32.43303,32.99774,1500,Hit,-1579554360,198954587
7,0,1,2.5,0,1,2.45,0,1,2.3,0.05,0.05,0.05,-0.001602411,0.9980634,2.292753,-0.003054276,0.9994172,2.296994,0.009817243,1.015259,2.510517,36.2426,36.7093,1800,Hit,-1548679853,1362488916
8,-0.2,1.2,2.5,-0.2,0.7,2.5,0,1,2.3,0.05,0.05,0.05,-0.001507178,0.9977558,2.298382,-0.003518939,0.999137,2.30082,-0.2065434,1.201579,2.49444,40.32531,41.01297,2100,Hit,-1522427620,168393841
9,-0.2,0.8,2.5,-0.7,0.8,2.5,0,1,2.3,0.05,0.05,0.05,0.0008182973,0.9996305,2.298962,0.001299039,0.9974244,2.300326,0.003165901,0.9987333,2.300314,43.6918,43.73153,2100,Neutral,-1193694554,759196161
10,-0.2,1.2,2.5,-0.2,1.2,2.55,0,1,2.3,0.05,0.05,0.05,0.001850963,1.000097,2.299441,-0.002303481,1.002537,2.297787,-0.21047,1.186299,2.499349,46.97226,47.52131,2400,Hit,-1186856552,1262981239
