Participant: IP
Session Start: 7/28/2025 4:00:46 PM
Trial          TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              -0.200000003   1              2.5            -0.200000003   1              2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00132967532  0.999468386    2.29909015     0              0              0              0              0              0              7.78034067     7.78034067     0              Too Slow       -490773469     -0.188318968   0.997487962    2.45211029     -0.173152238   0.959458649    2.49223304     -490789622     -0.0762801319  0.597437263    2.49379134     0.248468086    0.514086008    2.40219736
2              0.200000003    1.20000005     2.5            0.200000003    1.20000005     2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00093741715 1.00055063     2.29969358     0              0              0              0              0              0              10.8081331     10.8081331     0              Too Slow       -490773468     0.223798677    1.23027503     2.51494718     0.227305382    1.19007456     2.47144866     -490789619     -0.141572878   1.26313806     2.42399335     0.510267675    1.05117154     2.41673875
3              0.200000003    0.800000012    2.5            0.200000003    0.300000012    2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00274737179  0.99857825     2.30210304     0              0              0              0              0              0              14.0570431     14.0570431     0              Too Slow       -490773467     0.17825602     0.829933763    2.47500205     0.238235846    0.812915206    2.47049212     -490789620     -0.0747802705  0.244080663    2.54381514     -0.200640962   -0.116632283   2.47829747
4              -0.200000003   1.20000005     2.5            -0.200000003   1.70000005     2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0529473126  1.02289379     2.30856681     0              0              0              0              0              0              16.7862625     16.7862625     0              Too Early      -490773466     -0.158828288   1.20777953     2.52525759     -0.212907761   1.20191193     2.49264193     -490789621     0.0536047667   1.75898552     2.5239408      -0.603013575   1.527704       2.53980374
5              -0.200000003   1.20000005     2.5            -0.200000003   1.20000005     2.45000005     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.057728231   1.03839767     2.32442856     0              0              0              0              0              0              20.3260612     20.3260612     0              Too Early      -490773465     -0.16146262    1.18640852     2.49385881     -0.221095473   1.16043305     2.48425794     -490789622     -0.0762801319  0.79743731     2.49379134     0.248468086    0.714086056    2.40219736
