Participant: IP
Session Start: 9/10/2025 12:15:15 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              2              0.100000001    0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   6.36130571E-05 0.99796021     2.30220509     0.0347231328   0.986520231    2.32782292     0.0958223492   0.909598827    2.42120504     5.09528875     5.56428528     300            Hit            -1146363909    0.113806754    0.91149348     2.43682528     0.106439598    0.901341021    2.43095112     -1             0              0              0              0              0              0
2              6              -0.100000001   1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -2.9489398E-05 0.997254133    2.30157185     0              0              0              0              0              0              9.19714546     9.19714546     300            Invalid Start  -1146363907    -0.101055063   1.09382522     2.46256566     -0.113629349   1.1095351      2.42471337     -1             0              0              0              0              0              0
3              6              -0.100000001   1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0001124292610.998632491    2.29865718     -0.0255756974  1.02004802     2.31786966     -0.109810859   1.10005915     2.43755436     12.436429      12.9569225     600            Hit            -1146363907    -0.100372404   1.12416232     2.43090606     -0.0956209153  1.08690751     2.43054628     -1             0              0              0              0              0              0
4              8              0.100000001    1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0007221102710.998902559    2.29811144     0.022355333    1.02235711     2.31262302     0.0844132304   1.10802329     2.42225456     16.3010197     17.0350037     900            Hit            -1146363906    0.077106148    1.09458816     2.44772458     0.103283726    1.09227538     2.46857977     -1             0              0              0              0              0              0
5              2              0.100000001    0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00229074061  0.994353414    2.30229592     0              0              0              0              0              0              21.0925865     21.0925865     900            Invalid Start  -1146363904    0.111890242    0.91488415     2.45418262     0.111890249    0.922654629    2.44320011     -1             0              0              0              0              0              0
6              3              -0.100000001   1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00131720304 0.998560607    2.29912257     -0.0247638822  1.01739037     2.30724955     -0.101493508   1.00528514     2.45595574     23.9781208     24.8189049     1200           Hit            -1146363904    -0.0975856259  0.9870736      2.47174859     -0.0866779834  0.989434838    2.49268341     -1             0              0              0              0              0              0
7              7              0              1.10000002     2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0385758877   0.973464966    2.30889463     0              0              0              0              0              0              29.3302441     29.3302441     1200           Too Early      -1146363902    -0.00605666498 1.10921633     2.45930648     0.0177551284   1.08235979     2.48228168     -1             0              0              0              0              0              0
8              5              0.100000001    1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0007006078960.997275591    2.29931211     0.0216148198   1.00300169     2.33386564     0.0967006683   0.991565704    2.47801757     34.1057472     34.5061111     1500           Hit            -1146363902    0.0995686427   1.01490951     2.47387147     0.0981884599   0.994855702    2.46274781     -1             0              0              0              0              0              0
9              1              0              0.899999976    2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000382900238 0.999598622    2.2987411      0.000670015812 0.979704916    2.32411075     -0.0004321038720.896103382    2.47401905     37.8303795     38.142849      1800           Hit            -1146363901    -0.0149867591  0.885208905    2.45571446     -0.00756289205 0.911133826    2.49754333     -1             0              0              0              0              0              0
10             5              0.100000001    1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   8.3386898E-05  0.998746932    2.29869652     0.021918714    1.00729573     2.31941175     0.105042517    0.998374641    2.4700954      41.4343452     41.9206696     2100           Hit            -1146363900    0.0940166414   1.01600456     2.4894979      0.0995230153   0.982489407    2.47105908     -1             0              0              0              0              0              0
