Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,StartCircleX,StartCircleY,StartCircleZ,StartCircleScaleX,StartCircleScaleY,StartCircleScaleZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0,0.8,2.5,0,0.8,2.45,0,1,2.3,0.05,0.05,0.05,0.0003235787,0.9990904,2.298837,-0.003805056,0.9968817,2.296855,-0.004126832,0.9971021,2.296512,6.43578,6.458879,0,Neutral,-1954874231,1114144138
2,-0.2,1.2,2.5,-0.2,1.2,2.45,0,1,2.3,0.05,0.05,0.05,0.00176391,0.9986368,2.298865,0.00148131,0.9999356,2.30183,-0.1980078,1.204651,2.48264,9.445687,12.12373,-200,Hit Both,-1954874230,237954333
3,-0.2,0.8,2.5,-0.2,1.3,2.5,0,1,2.3,0.05,0.05,0.05,0.002975717,0.9989966,2.301431,-0.001001239,0.9980608,2.301837,-0.2068689,0.84082,2.475183,15.35182,16.08914,-400,Hit Both,-1954874229,695391926
4,-0.2,0.8,2.5,0.3,0.8,2.5,0,1,2.3,0.05,0.05,0.05,-0.001015633,0.9981398,2.296668,-0.002704069,0.9974959,2.298706,-0.2012726,0.8230907,2.499025,19.42326,21.29063,-100,Hit,-1954874228,1436464090
5,0.2,1,2.5,0.2,1.5,2.5,0,1,2.3,0.05,0.05,0.05,-0.0005845875,0.9982899,2.299037,0.002018601,0.9976987,2.301407,0.202246,0.9884376,2.503206,24.35645,25.09227,200,Hit,-1954874227,276588921
6,0,0.8,2.5,0,0.8,2.45,0,1,2.3,0.05,0.05,0.05,-0.002996266,0.9984977,2.299026,-0.0007361472,0.9979196,2.298707,-0.009513438,0.8410099,2.478994,28.16389,28.74982,0,Hit Both,-1954874226,513900532
7,0.2,1,2.5,0.2,1.5,2.5,0,1,2.3,0.05,0.05,0.05,-0.002267525,0.9987128,2.298916,-0.0007516742,0.9982378,2.300214,0.2020292,0.9899928,2.5013,31.94567,32.58033,300,Hit,-1954874225,1775832013
8,-0.2,1.2,2.5,-0.2,0.7,2.5,0,1,2.3,0.05,0.05,0.05,-0.002304509,1.000258,2.299573,-0.00432615,1.003591,2.298276,-0.2026171,1.225856,2.493835,35.63912,36.18853,600,Hit,-1954874224,587295447
9,-0.2,1,2.5,-0.2,0.5,2.5,0,1,2.3,0.05,0.05,0.05,-0.0002233833,1.001385,2.296082,-0.002600104,1.000618,2.296772,-0.1972552,1.032184,2.483805,39.45558,40.06208,900,Hit,-1954874223,479365583
10,0,1.2,2.5,0,1.2,2.45,0,1,2.3,0.05,0.05,0.05,0.001063839,0.9992207,2.294577,-0.001586631,1.001201,2.295007,-0.009036332,1.201763,2.505332,42.95921,43.59892,1200,Hit,-1954874222,1566912574
