Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,StartCircleX,StartCircleY,StartCircleZ,StartCircleScaleX,StartCircleScaleY,StartCircleScaleZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0.2,1,2.5,0.2,1.5,2.5,0,1,2.3,0.05,0.05,0.05,0.004877001,0.9981871,2.307057,0.003797039,0.996112,2.307705,0.003711611,0.9955006,2.308092,19.29746,19.31887,0,Neutral,813601623,2018977209
2,0.2,1.2,2.5,0.2,1.2,2.45,0,1,2.3,0.05,0.05,0.05,-0.0007021427,0.9968518,2.282859,-0.001685292,0.9953236,2.287668,-0.002377093,0.9921627,2.29274,23.15827,23.27119,0,Neutral,868804153,748962014
3,-0.2,0.8,2.5,0.3,0.8,2.5,0,1,2.3,0.05,0.05,0.05,-0.0008363724,0.9965655,2.288478,0.001150504,0.993974,2.296229,0.005010933,1.011543,2.391773,26.61604,27.39201,0,Neutral,873897423,508440926
4,-0.2,1,2.5,0.3,1,2.5,0,1,2.3,0.05,0.05,0.05,-0.002440676,1.000526,2.298244,-0.001199007,1.00306,2.29869,-0.001226664,1.003195,2.298675,38.08483,38.10485,0,Neutral,933025501,157094705
5,0,1,2.5,0,1,2.55,0,1,2.3,0.05,0.05,0.05,0.000213474,1.000481,2.301896,-0.001241595,0.9995151,2.305634,0.02100459,0.9494764,2.645055,48.81327,49.75404,0,Neutral,1300032167,890920459
6,0,1.2,2.5,0,1.7,2.5,0,1,2.3,0.05,0.05,0.05,0.000452444,0.9984185,2.306614,-0.001388386,1.000837,2.305699,0.01042417,1.209653,2.536135,56.21582,57.43872,-200,Hit Both,1159526436,1973794022
7,0.2,1.2,2.5,-0.3,1.2,2.5,0,1,2.3,0.05,0.05,0.05,-0.005028978,0.9949824,2.301339,-0.005338192,0.9946598,2.292014,-0.0055231,0.9947194,2.291531,62.57586,62.59974,-200,Neutral,1520149185,308970470
9,-0.2,1,2.5,-0.2,1.5,2.5,0,1,2.3,0.05,0.05,0.05,0.001041919,0.9974704,2.314698,0.001967505,1.001696,2.309444,-0.1922954,0.9981159,2.542662,71.10236,73.93642,100,Hit,1604156327,585403861
10,0.2,1.2,2.5,0.2,1.7,2.5,0,1,2.3,0.05,0.05,0.05,-0.0003229976,0.997198,2.302676,-0.002914608,0.9966139,2.305342,-0.003154188,0.9963168,2.30584,79.17004,79.19381,100,Neutral,1378001451,1454130663
