Participant: IP
Session Start: 8/7/2025 5:03:33 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              4              0              1              2.5999999      0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000466287136 0.997243404    2.30176044     0.000479876995 0.993527532    2.33885717     0.00382390618  0.987875164    2.58706522     8.80199432     9.39552498     300            Hit            1600712137     0.00338793104  0.997116327    2.60415816     -0.0009959124730.990698338    2.60311818     -1             0              0              0              0              0              0
2              4              0              1              2.5999999      0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00244498253  0.997506917    2.30056953     0.0015874505   1.00659585     2.33132029     0.00307151675  1.00247324     2.58184481     13.2748976     13.6418819     600            Hit            1600712138     0.00640945509  0.980275869    2.58864474     -0.0141976224  0.986470819    2.60854912     -1             0              0              0              0              0              0
3              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000715956092 0.999519527    2.29892564     -0.022017628   0.977645576    2.30646086     -0.183746129   0.820222795    2.37595081     16.5926094     17.111454      900            Hit            1600712139     -0.219995424   0.792182982    2.37989926     -0.194804326   0.82359165     2.39882064     -1             0              0              0              0              0              0
4              1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0001935511831.00026298     2.29608655     0.00656691194  0.969328403    2.31821442     0.00602713227  0.798469186    2.50683022     20.71175       21.3190861     1200           Hit            1600712140     0.016030157    0.775659382    2.52880621     -0.0125588411  0.792558551    2.52244735     -1             0              0              0              0              0              0
5              5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00101134181  0.997923315    2.29867625     0.0307357162   0.988990664    2.3204608      0.201749474    0.995938599    2.5083375      24.2815094     24.8137074     1500           Hit            1600712141     0.205665424    1.02744448     2.52282429     0.178953126    0.991086662    2.54087019     -1             0              0              0              0              0              0
6              8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0477491468   1.03130114     2.3091042      0              0              0              0              0              0              28.1401863     28.1401863     1500           Too Early      1600712143     0.198957473    1.18637407     2.42026258     0.199374199    1.22672319     2.4072299      -1             0              0              0              0              0              0
7              2              0.200000003    0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0269089192   0.955808938    2.30763292     0              0              0              0              0              0              31.9961281     31.9961281     1500           Too Early      1600712144     0.184196159    0.806613028    2.39308906     0.19800435     0.784678459    2.39693117     -1             0              0              0              0              0              0
