Participant: ME
Session Start: 8/4/2025 10:12:24 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              2              -0.200000003   0.800000012    2.5            0.300000012    0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00166113675  0.999159813    2.30234957     -0.0360867977  0.970548093    2.31128836     -0.211626112   0.802377105    2.47353458     4.10634041     5.1366992      300            Hit            1622179066     -0.182257578   0.789841235    2.5163331      -0.190850645   0.767510355    2.50963926     1622288364     0.0192683339   0.507961214    2.49129987     0.201214075    0.704025626    2.51249957
2              2              -0.200000003   0.800000012    2.5            0.300000012    0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -4.9546361E-05 0.999262154    2.30281782     -0.0293841362  0.977386713    2.31602049     -0.220807612   0.799095929    2.49283504     8.66458988     9.45930767     600            Hit            1622179067     -0.164937228   0.8152619      2.48542047     -0.197992787   0.819572628    2.50713253     1622288364     0.0192683339   0.507961214    2.49129987     0.201214075    0.704025626    2.51249957
3              15             0.200000003    1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0136025995  0.955180287    2.27920842     0              0              0              0              0              0              11.8421268     11.8421268     600            Too Early      1622179069     0.193362609    0.984143913    2.50838995     0.178942412    0.992958188    2.50279069     -1             0              0              0              0              0              0
