Participant: IP
Session Start: 7/30/2025 3:06:07 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              21             0              1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    -0.0004853904250.998837888    2.29857969     0.00221729279  1.03029025     2.31617355     -0.0039229691  1.21205711     2.49780083     5.38859797     5.95902538     300            Hit            -1806246537    -0.0266509932  1.16874123     2.48001933     0.00712077552  1.17501962     2.49898434     -1             0              0              0              0              0              0
2              1              -0.200000003   0.800000012    2.5            -0.200000003   1.29999995     2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.00216548145  0.999225199    2.30084372     -0.028514266   0.975679457    2.31946611     -0.218369186   0.792157233    2.48316336     9.28328705     9.81282043     600            Hit            -1806246536    -0.226989552   0.796055377    2.47924399     -0.244781494   0.802876115    2.49388576     -1806845886    -0.667775691   1.45166731     2.47962284     0.274687588    1.42213845     2.53940034
3              8              0.200000003    0.800000012    2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.00108373165  1.00078249     2.29983115     0              0              0              0              0              0              12.9353838     12.9353838     600            Invalid Start  -1806246534    0.163284063    0.827259302    2.51037025     0.188712284    0.782683969    2.48101807     -1806845885    0.286878109    -0.149765074   2.53013682     -0.205075786   0.352441072    2.49229574
4              4              0              0.800000012    2.5            0              1.29999995     2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.00181661546  0.997302532    2.30040359     0.00364395976  0.960527658    2.32305336     -0.00590574741 0.773396969    2.47872424     15.9494276     16.4216537     900            Hit            -1806246534    -0.0128663061  0.810417414    2.4545157      0.0207727812   0.825945675    2.49902725     -1806845886    -0.467775702   1.45166731     2.47962284     0.474687576    1.42213845     2.53940034
5              8              0.200000003    0.800000012    2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.0473139882   0.959709108    2.33681417     0              0              0              0              0              0              22.9167118     22.9167118     900            Too Early      -1806246532    0.184118539    0.797025383    2.53126717     0.189225867    0.759848595    2.4792645      -1806845885    0.286878109    -0.149765074   2.53013682     -0.205075786   0.352441072    2.49229574
6              15             0.200000003    1              2.5            0.200000003    0.300000012    2.5            0              0              0              0.150000006    0.150000006    0.150000006    -0.00043463707 0.998544514    2.30122185     0.0276184827   1.0015291      2.32449913     0.191542044    1.00406659     2.4802351      27.7141972     28.184206      1200           Hit            -1806246532    0.19938378     1.03044713     2.4908843      0.197376028    0.970514834    2.52008653     -1             0              0              0              0              0              0
7              3              0              0.800000012    2.5            0.200000003    0.300000012    2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.00181806087  1.00184762     2.29867649     0.00149196386  0.97340256     2.3165257      -0.00206443667 0.806041598    2.47553706     32.4895782     33.0925407     1500           Hit            -1806246531    0.000867241994 0.826080382    2.51674223     0.0295243505   0.774709582    2.49448156     -1             0              0              0              0              0              0
