Participant: IP
Session Start: 7/28/2025 1:18:49 PM
Trial          Time           PosX           PosY           PosZ           VelX           VelY           VelZ           Speed
1              5.68596983     0.000228315592 0.99931705     2.29685402     0              0              0              0
1              5.71264791     0.000174239278 0.999334812    2.29697871     -0.00202700775 0.000665801403 0.0046740151   0.00513794413
1              5.72969866     0.000635877252 0.999660969    2.29699349     0.0270745885   0.0191287473   0.000866946182 0.0331616327
1              5.74947405     0.000946804881 0.999896288    2.29698515     0.0157228708   0.011899529    -0.0004219691040.019722715
1              5.77231789     0.00138308108  1.00002325     2.29716682     0.0190980658   0.00555760367  0.00795285217  0.0214212723
1              5.79341602     0.00151397288  1.00018251     2.29724789     0.00620402023  0.00754878949  0.00384219829  0.010499361
1              5.81434202     0.00164435804  1.00003338     2.29750085     0.0062307436   -0.00712654646 0.0120883547   0.0153537663
1              5.83571672     0.0013999939   0.999622941    2.29753423     -0.0114322938  -0.0192018487  0.00156157929  0.0224019382
1              5.85770702     0.000970423222 0.999082208    2.2978363      -0.0195348207  -0.024589967   0.0137369875   0.0342779905
1              5.88029194     0.000557050109 0.99873364     2.2979517      -0.0183028318  -0.0154334679  0.0051093013   0.0244804118
1              5.90111589     0.000618696213 0.998443484    2.29806376     0.002960396    -0.0139339697  0.00538123725  0.0152275134
1              5.92253923     0.000560164452 0.998180985    2.29790592     -0.00273215421 -0.0122529604  -0.00736735668 0.0145560177
1              5.94513988     0.000866234303 0.997956395    2.29772401     0.0135424947   -0.00993731618 -0.00804901496 0.0186262205
1              5.96256685     0.00173999369  0.997671843    2.29775906     0.0501373969   -0.016327979   0.00201107073  0.0527674705
1              5.98094368     0.0044362545   0.997672677    2.29829788     0.146724105    4.54096007E-05 0.0293216277   0.149625272
1              6.00191402     0.0128050596   0.998601913    2.30319571     0.39907515     0.0443116017   0.233558238    0.464514732
1              6.02228594     0.0288977027   0.99756813     2.31860971     0.789947033    -0.0507457815  0.756634116    1.09502816
1              6.04315186     0.0472828597   0.991357207    2.34172273     0.881110191    -0.29765901    1.10769308     1.44635403
1              6.06448793     0.0656813979   0.9734447      2.37946463     0.862311542    -0.839532018   1.76890552     2.13949108
1              6.08523417     0.0809210837   0.945203066    2.41920424     0.734577239    -1.361292      1.91551268     2.46209431
1              6.10610914     0.0942923725   0.91691494     2.44702768     0.640537739    -1.35511327    1.33285344     2.0057714
1              6.12762594     0.106970012    0.891167521    2.4635427      0.589202702    -1.19663036    0.767547667    1.53890014
1              6.148736       0.119703621    0.878066897    2.46788645     0.603202701    -0.620588541   0.205767319    0.889563859
1              6.17119265     0.130166024    0.87713325     2.46880674     0.465886056    -0.0415748842  0.0409803502   0.469529212
1              6.19234943     0.13929522     0.875552177    2.47354555     0.431501746    -0.074731186   0.223985076    0.491881907
1              6.21026039     0.147478461    0.871910095    2.48003745     0.456893742    -0.203347862   0.362461299    0.617641032
1              6.22944355     0.154859528    0.866083384    2.48658538     0.384761214    -0.303735584   0.341331244    0.597330332
1              6.24993038     0.16293034     0.858695626    2.49496436     0.393951803    -0.360610604   0.408994198    0.672691822
1              6.27134657     0.170657545    0.852099419    2.50112796     0.360811234    -0.308000833   0.28780067     0.554867983
1              6.29237986     0.17893137     0.844919801    2.50582123     0.393369794    -0.34134692    0.223136276    0.566610396
1              6.31431913     0.159567386    0.862426043    2.48490143     -0.882616341   0.797939837    -0.953530848   1.52477562
1              6.33518887     0.160870358    0.860702872    2.48726726     0.0624345876   -0.0825692266  0.113363467    0.153515577
1              6.35614824     0.16280891     0.860920191    2.48785996     0.092489481    0.0103683993   0.0282784868   0.097270146
1              6.37789869     0.162154987    0.860998511    2.48814559     -0.0300648529  0.00360087655  0.0131319631   0.0330046974
3              12.0431185     0.000825867057 0.997991085    2.30104685     0              0              0              0
3              12.0678482     0.000548824668 0.998201609    2.30054569     -0.0112026399  0.00851284899  -0.0202650148  0.0246706009
3              12.0875082     0.000397711992 0.998180509    2.30050516     -0.00768657494 -0.0010732857  -0.0020616788  0.0080303112
3              12.1100769     0.000141307712 0.998077512    2.30056024     -0.0113609564  -0.00456366176 0.00244029146  0.0124841239
3              12.1315765     9.92715359E-05 0.998329282    2.30044889     -0.00195519812 0.011710396    -0.00517874537 0.0129528213
3              12.1523066     6.07818365E-05 0.998621583    2.30027175     -0.00185671484 0.0141003942   -0.0085453447  0.0165919084
3              12.1733847     4.7981739E-05  0.998630524    2.30008602     -0.0006072613180.000424163911 -0.00881129876 0.00884237885
3              12.1911345     -0.00013127923 0.9985286      2.29981518     -0.0100996653  -0.00574245304 -0.0152594773  0.019178912
3              12.2085562     -0.0003898292780.998485923    2.29972339     -0.0148406038  -0.00244962773 -0.00526875257 0.0159375016
3              12.2298069     -0.0006909817460.998459816    2.29963732     -0.0141710807  -0.00122848758 -0.00405008206 0.0147895869
3              12.2505312     -0.0009417533870.998386025    2.29964495     -0.0121004255  -0.00356059824 0.000368139416 0.0126187829
3              12.2707357     -0.00106790662 0.998233199    2.29938221     -0.00624394184 -0.00756412325 -0.0130041558  0.0162883643
3              12.2911949     -0.00116471946 0.998214245    2.29942918     -0.00473185722 -0.0009264156110.00229564612  0.00534029119
3              12.3133745     -0.0004472583530.998651385    2.29988909     0.0323476456   0.0197090339   0.0207356028   0.0431831144
3              12.3338728     0.00336149335  1.0000788      2.30253267     0.185811803    0.0696369931   0.128968596    0.236660585
3              12.3548317     0.0118774474   1.00288332     2.31063652     0.406320721    0.133811638    0.386657953    0.576633751
3              12.3769217     0.0228005201   1.00596178     2.32119894     0.494475931    0.139358655    0.478149563    0.701822102
3              12.3982859     0.0402980447   1.01018095     2.33721185     0.819023013    0.197490841    0.74953109     1.12765157
3              12.4168758     0.0579303801   1.01260459     2.35404587     0.948469698    0.130371436    0.905527115    1.31779015
3              12.4361773     0.0767013729   1.01408613     2.37244725     0.972524762    0.0767581984   0.95337534     1.36404574
3              12.4605103     0.101620406    1.01514101     2.39441061     1.02407122     0.0433514155   0.902604997    1.36575878
3              12.4805851     0.12585707     1.01595938     2.41723633     1.20729983     0.0407655165   1.13701642     1.65892768
3              12.5023775     0.144572154    1.01650846     2.43682075     0.858789444    0.0251958463   0.898681045    1.24329472
3              12.5244694     0.159329936    1.01523256     2.45621777     0.668023825    -0.0577545874  0.878022969    1.10476959
3              12.545599      0.166804805    1.01259434     2.47463512     0.353761286    -0.124858417   0.871633708    0.948937297
3              12.5745211     0.1756147      1.00803256     2.49148846     0.304611921    -0.157728702   0.582722783    0.67618978
3              12.5973406     0.179684609    1.00342977     2.49754119     0.178349122    -0.201700702   0.265239209    0.377946317
3              12.6196384     0.181725085    0.999544859    2.50272703     0.0915105864   -0.174229249   0.232572973    0.304664075
3              12.6420965     0.180024043    0.997913718    2.50473475     -0.0757422447  -0.0726297498  0.0893978104   0.13785477
3              12.6648912     0.179053411    0.997575879    2.50372028     -0.0425820313  -0.0148211466  -0.0445052758  0.0633530989
3              12.683423      0.178600058    0.998329043    2.50168848     -0.0244641732  0.0406428203   -0.109641694   0.11946395
3              12.702364      0.176934212    1.00038397     2.49828601     -0.0879454762  0.108486511    -0.179627687   0.227529854
3              12.7230444     0.172652379    1.0017978      2.49541569     -0.207056925   0.0683682933   -0.138800323   0.258480787
3              12.7444496     0.169094637    1.00000048     2.4937048      -0.166205332   -0.0839644745  -0.0799269229  0.202638984
3              12.7671576     0.1684784      0.996852994    2.49496555     -0.0271379407  -0.138609231   0.0555213876   0.151761696
3              12.7898598     0.172354162    0.994852304    2.49528813     0.170722634    -0.0881279483  0.0142092733   0.192651644
3              12.8120985     0.174453691    0.996918321    2.49504614     0.0944079459   0.0929010063   -0.0108816018  0.132897958
3              12.8345747     0.176306963    0.99826324     2.49474001     0.08245451     0.0598372146   -0.0136201     0.102784947
3              12.8562422     0.176731795    0.999711514    2.49384165     0.0196071547   0.0668417588   -0.0414618067  0.0810638219
3              12.8785038     0.177579403    1.00072217     2.49236441     0.0380743705   0.0453984737   -0.0663573816  0.0889605582
3              12.8991365     0.17735143     1.00199032     2.49120688     -0.0110488907  0.0614618473   -0.0561002567  0.0839456692
3              12.9201088     0.176085159    1.00318933     2.49091434     -0.0603782535  0.0571709834   -0.0139488559  0.0843126625
3              12.9395475     0.175696254    1.00350821     2.49098802     -0.0200066585  0.0164045542   0.00378991198  0.0261484068
4              15.4407873     -0.0003249943260.998656034    2.30066299     0              0              0              0
4              15.4638538     -0.0003526210780.998803616    2.30074453     -0.00119770551 0.00639809854  0.00353497546  0.00740717305
4              15.4827433     -0.0003417432310.998940468    2.3009367      0.000575867423 0.00724488543  0.0101731317   0.0125025036
4              15.5047159     -0.0004105418920.999441624    2.30136204     -0.00313109742 0.0228081159   0.0193576012   0.0300787408
4              15.5266724     -0.00072568655 1.00004458     2.3020072      -0.0143535957  0.027462475    0.0293845218   0.0427043699
4              15.5495853     -0.0007068961861.00055885     2.30333781     0.000820056477 0.0224439241   0.0580711812   0.0622628629
4              15.5726299     -0.0008497387171.0014596      2.30566907     -0.00619849842 0.0390868783   0.101162389    0.10862796
4              15.5950823     -0.0001926422121.00309813     2.30996513     0.0292667244   0.0729793161   0.191344395    0.206870005
4              15.6180372     0.00139573216  1.00505495     2.31445479     0.0691957399   0.0852466822   0.195586994    0.224297389
4              15.6404629     0.00389352441  1.00710714     2.31809974     0.111382782    0.0915121734   0.162537098    0.217253104
4              15.6625996     0.0052831471   1.00842023     2.31957817     0.0627743229   0.0593170784   0.0667862371   0.109176613
4              15.6852026     0.00598487258  1.00918245     2.31785488     0.0310448557   0.033721365    -0.0762396082  0.0889572427
4              15.7050734     0.00577193499  1.00921631     2.31592083     -0.0107164299  0.00170382985  -0.0973342806  0.0979372635
4              15.7247877     0.00452750921  1.0083499      2.31356359     -0.0631230026  -0.0439484604  -0.119570285   0.142172545
4              15.7477455     0.00297033787  1.0067929      2.31164002     -0.0678254813  -0.0678176954  -0.0837842673  0.127355173
4              15.7703934     0.00177365541  1.00497019     2.31093168     -0.0528392605  -0.0804813728  -0.0312766731  0.101229787
4              15.7942791     0.000903874636 1.0034827      2.31100178     -0.0364145935  -0.0622760057  0.00293462817  0.0722006634
4              15.8163843     0.000234991312 1.00202215     2.31181145     -0.0302582718  -0.0660709962  0.036627017    0.0813786089
4              15.8384724     0.000183492899 1.00082839     2.3131988      -0.0023315954  -0.0540476777  0.0628127456   0.0828977004
4              15.8612871     0.000617802143 1.00033569     2.31399107     0.0190363768   -0.0215953737  0.0347260721   0.0451070257
5              17.9098206     -0.00159035623 0.997062683    2.30546403     0              0              0              0
5              17.9317608     -0.00159090757 0.996978283    2.30504704     -2.51299225E-05-0.00384691567 -0.0190063715  0.01939179
5              17.9501114     -0.00136351585 0.997130275    2.30489063     0.0123921223   0.00828307029  -0.00852344092 0.0171704106
5              17.9694214     -0.00115530193 0.997367859    2.30458665     0.0107820285   0.0123029174   -0.0157413147  0.0227024872
5              17.9891014     -0.0006923377510.997815013    2.30429578     0.0235257968   0.0227223951   -0.0147807645  0.0358920805
5              18.0085793     -0.0004183650020.99838233     2.30398989     0.0140656093   0.0291257408   -0.015704276   0.035955172
5              18.0283527     -7.15106726E-050.998981237    2.3035121      0.0175411962   0.0302880835   -0.0241629463  0.042531278
5              18.0477123     -8.39084387E-050.999342084    2.30307817     -0.0006404102310.0186396316   -0.0224143583  0.0291590374
5              18.067194      -0.0001143813130.999551773    2.30264425     -0.0015640991  0.0107628377   -0.0222721603  0.0247857664
5              18.0866432     -0.0004032105210.999901533    2.3020153      -0.0148504414  0.0179832615   -0.0323379971  0.0398707837
5              18.1042061     -0.0003537535671.00011373     2.30150414     0.0028161665   0.0120826187   -0.0291068926  0.0316406637
5              18.120882      -0.0004848092791.0001651      2.30129576     -0.0078588007  0.00308097154  -0.0124954488  0.0150794359
5              18.1400661     -0.0007627010351.00033724     2.30101299     -0.0144859022  0.00897319615  -0.0147399046  0.0225305222
5              18.1592464     -0.0008713901041.00012636     2.30153704     -0.005666201   -0.0109937042  0.027319571    0.0299887694
5              18.178196      -0.0006625056270.999540806    2.30265069     0.0110236248   -0.0309020095  0.0587716959   0.0673094839
5              18.1974621     -0.0004659891130.99938345     2.30325651     0.0102004362   -0.00816777442 0.0314459316   0.0340530165
6              21.1020508     0.00040410459  0.998900175    2.29857945     0              0              0              0
6              21.1233654     0.000261828303 0.998863578    2.29840779     -0.00667537563 -0.00171708444 -0.00805407669 0.0106008099
6              21.1423683     0.000124946237 0.998771429    2.29836082     -0.00720318174 -0.00484917033 -0.00247163395 0.00902824756
6              21.1620541     -0.0001385957  0.998568773    2.29853177     -0.0133865969  -0.0102938889  0.00868319813  0.0189884976
6              21.1820889     -0.0002840757370.998390079    2.29879165     -0.00726154819 -0.00891943928 0.0129715661   0.0173363201
6              21.2019844     -0.0003180056810.998388648    2.29890084     -0.00170546805 -7.19037926E-050.005488656    0.00574796787
6              21.2190495     -0.0001644641160.998521566    2.29889178     0.00899761263  0.00778908283  -0.0005309150440.0119125443
6              21.2372417     -3.01152468E-050.998667002    2.29887009     0.00738489022  0.00799429137  -0.00119259092 0.0109484047
6              21.2572079     0.000210165977 0.998880863    2.29886508     0.0120342188   0.0107110143   -0.0002507595350.0161124524
6              21.2767677     0.000336959958 0.998973131    2.2988708      0.00648230966  0.00471717725  0.000292538141 0.00802232418
6              21.296875      0.000375568867 0.998956323    2.2988863      0.00192005781  -0.0008359032220.000770690909 0.00223143911
6              21.3169575     0.000239908695 0.998952746    2.29893684     -0.00675544608 -0.0001780873430.00251696771  0.00721130334
6              21.3364697     0.000207021832 0.99898231     2.2990489      -0.00168541679 0.00151511864  0.00574278878  0.00617380254
6              21.3567371     0.000260770321 0.998978972    2.29928112     0.00265190215  -0.0001646870220.0114575112   0.0117615592
6              21.3770256     0.000207424164 0.999087572    2.29964042     -0.00262936624 0.00535274297  0.0177092943   0.018686479
6              21.3970642     0.000756248832 0.999268413    2.29986763     0.027388785    0.00902474299  0.0113389315   0.0309864953
