Participant: IP
Session Start: 8/7/2025 4:31:56 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0242543817   0.980206847    2.26973057     0              0              0              0              0              0              2.37008309     2.37008309     0              Too Early      -440123576     -0.229039013   0.964247823    2.52333617     -0.219795376   0.974787176    2.49697804     -1             0              0              0              0              0              0
2              2              0.200000003    0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00126425922 0.995830774    2.29653907     0              0              0              0              0              0              6.92542315     6.92542315     0              Invalid Start  -440123575     0.222652912    0.806366861    2.42131853     0.195619851    0.808644593    2.37025905     -1             0              0              0              0              0              0
3              8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00220304728 0.998643816    2.29848552     0.0216391534   1.01977789     2.30645585     0.196234733    1.17370141     2.37855291     10.2681532     10.862524      300            Hit            -440123575     0.219042942    1.18450511     2.38685274     0.180504948    1.22694838     2.42258215     -1             0              0              0              0              0              0
4              4              0              1              2.5999999      0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0403801501   0.974348485    2.29969645     0              0              0              0              0              0              14.152916      14.152916      300            Too Early      -440123573     0.00564228697  1.0199883      2.61020374     0.0154221132   0.995085359    2.64243293     -1             0              0              0              0              0              0
